Input,Output,model,dataset
99,1,google/flan-t5-base,sciq
71,1,google/flan-t5-base,sciq
152,14,google/flan-t5-base,sciq
163,1,google/flan-t5-base,sciq
107,1,google/flan-t5-base,sciq
63,2,google/flan-t5-base,sciq
64,2,google/flan-t5-base,sciq
102,1,google/flan-t5-base,sciq
88,1,google/flan-t5-base,sciq
76,1,google/flan-t5-base,sciq
126,2,google/flan-t5-base,sciq
88,1,google/flan-t5-base,sciq
77,1,google/flan-t5-base,sciq
129,11,google/flan-t5-base,sciq
67,1,google/flan-t5-base,sciq
125,1,google/flan-t5-base,sciq
118,11,google/flan-t5-base,sciq
113,1,google/flan-t5-base,sciq
102,1,google/flan-t5-base,sciq
192,1,google/flan-t5-base,sciq
125,1,google/flan-t5-base,sciq
81,1,google/flan-t5-base,sciq
71,1,google/flan-t5-base,sciq
86,1,google/flan-t5-base,sciq
121,1,google/flan-t5-base,sciq
88,1,google/flan-t5-base,sciq
73,1,google/flan-t5-base,sciq
69,1,google/flan-t5-base,sciq
63,1,google/flan-t5-base,sciq
58,1,google/flan-t5-base,sciq
125,1,google/flan-t5-base,sciq
83,1,google/flan-t5-base,sciq
82,1,google/flan-t5-base,sciq
249,1,google/flan-t5-base,sciq
150,1,google/flan-t5-base,sciq
145,13,google/flan-t5-base,sciq
192,1,google/flan-t5-base,sciq
90,9,google/flan-t5-base,sciq
119,1,google/flan-t5-base,sciq
119,1,google/flan-t5-base,sciq
38,1,google/flan-t5-base,sciq
114,4,google/flan-t5-base,sciq
38,1,google/flan-t5-base,sciq
127,1,google/flan-t5-base,sciq
198,1,google/flan-t5-base,sciq
92,2,google/flan-t5-base,sciq
103,1,google/flan-t5-base,sciq
84,1,google/flan-t5-base,sciq
106,2,google/flan-t5-base,sciq
102,1,google/flan-t5-base,sciq
139,1,google/flan-t5-base,sciq
148,1,google/flan-t5-base,sciq
165,1,google/flan-t5-base,sciq
158,1,google/flan-t5-base,sciq
78,1,google/flan-t5-base,sciq
198,9,google/flan-t5-base,sciq
133,13,google/flan-t5-base,sciq
90,1,google/flan-t5-base,sciq
105,1,google/flan-t5-base,sciq
49,1,google/flan-t5-base,sciq
81,1,google/flan-t5-base,sciq
93,1,google/flan-t5-base,sciq
104,1,google/flan-t5-base,sciq
69,1,google/flan-t5-base,sciq
77,12,google/flan-t5-base,sciq
80,1,google/flan-t5-base,sciq
59,1,google/flan-t5-base,sciq
105,1,google/flan-t5-base,sciq
129,1,google/flan-t5-base,sciq
70,1,google/flan-t5-base,sciq
126,1,google/flan-t5-base,sciq
138,1,google/flan-t5-base,sciq
57,1,google/flan-t5-base,sciq
68,1,google/flan-t5-base,sciq
96,1,google/flan-t5-base,sciq
98,12,google/flan-t5-base,sciq
114,16,google/flan-t5-base,sciq
120,1,google/flan-t5-base,sciq
124,1,google/flan-t5-base,sciq
148,1,google/flan-t5-base,sciq
64,1,google/flan-t5-base,sciq
155,1,google/flan-t5-base,sciq
67,1,google/flan-t5-base,sciq
72,1,google/flan-t5-base,sciq
155,1,google/flan-t5-base,sciq
118,1,google/flan-t5-base,sciq
63,1,google/flan-t5-base,sciq
118,1,google/flan-t5-base,sciq
104,1,google/flan-t5-base,sciq
66,1,google/flan-t5-base,sciq
165,1,google/flan-t5-base,sciq
92,1,google/flan-t5-base,sciq
92,1,google/flan-t5-base,sciq
94,1,google/flan-t5-base,sciq
107,14,google/flan-t5-base,sciq
97,1,google/flan-t5-base,sciq
107,1,google/flan-t5-base,sciq
74,2,google/flan-t5-base,sciq
81,1,google/flan-t5-base,sciq
115,1,google/flan-t5-base,sciq
132,1,google/flan-t5-base,sciq
104,1,google/flan-t5-base,sciq
157,1,google/flan-t5-base,sciq
135,1,google/flan-t5-base,sciq
74,1,google/flan-t5-base,sciq
209,1,google/flan-t5-base,sciq
89,8,google/flan-t5-base,sciq
92,1,google/flan-t5-base,sciq
217,1,google/flan-t5-base,sciq
137,1,google/flan-t5-base,sciq
49,1,google/flan-t5-base,sciq
102,5,google/flan-t5-base,sciq
131,1,google/flan-t5-base,sciq
74,1,google/flan-t5-base,sciq
113,1,google/flan-t5-base,sciq
217,1,google/flan-t5-base,sciq
77,1,google/flan-t5-base,sciq
177,1,google/flan-t5-base,sciq
