task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2023-09-26T16:34:16,google/pegasus-large,5a0a72de-155e-42d6-aa4e-8b0b167bcd3f,34.33044195175171,0.0013070624991126244,3.807061094780448e-05,42.5,517.5353829490996,430.77675,0.0004055358822147052,0.0049357872819513204,0.004078959072689215,0.009420282236855242,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
query model,2023-09-26T16:38:08,google/pegasus-large,5a0a72de-155e-42d6-aa4e-8b0b167bcd3f,232.01708006858826,0.009290988290450084,4.004450207789137e-05,42.5,566.2880393417167,430.77675,0.002739281509154373,0.03649590030779848,0.027726981059556552,0.0669621628765094,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
