task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2023-09-26T02:35:16,facebook/opt-1.3b,0fb6d221-9742-415f-a4c8-877b3b248f9f,32.75296926498413,0.0012276931904265994,3.748362911027213e-05,42.5,510.0302315854005,430.77675,0.00038689314242866307,0.004640409545658031,0.0038209477681352194,0.008848250456221915,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
query model,2023-09-26T02:51:12,facebook/opt-1.3b,0fb6d221-9742-415f-a4c8-877b3b248f9f,955.9826982021332,0.03784496037922558,3.958792411347285e-05,42.5,554.2864407362072,430.77675,0.011286019209523997,0.14718809747262185,0.11428270118765527,0.2727568178698011,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
