task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2023-09-12T09:03:16,runwayml/stable-diffusion-v1-5,4fd16569-be82-469c-aff7-f98c0109849f,3.663248062133789,0.0001387649469160633,3.788672901743907e-05,42.5,519.9191138478313,430.77675,4.347571051783032e-05,0.0005291084788439093,0.00042752480727692443,0.0010001089966386642,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
transfer model to GPU,2023-09-12T09:03:28,runwayml/stable-diffusion-v1-5,4fd16569-be82-469c-aff7-f98c0109849f,12.432122945785522,0.00047430682227126607,3.815181903284719e-05,42.5,522.6628487559506,430.77675,0.00014697264002429115,0.0018046206103292661,0.0014668386423024535,0.0034184318926560103,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
query model,2023-09-12T10:11:17,runwayml/stable-diffusion-v1-5,4fd16569-be82-469c-aff7-f98c0109849f,4069.016444206238,0.18657107439811166,4.585176137602461e-05,42.5,716.4272378594701,430.77675,0.04803706384036276,0.8097606955858652,0.48686034166438247,1.3446581010906102,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
