task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2023-09-19T02:37:06,prompthero/openjourney,2ad20bc1-11ff-41b0-a303-adbf44aa725f,3.074483871459961,0.00011136112206355698,3.6229602703171904e-05,42.5,479.75213998426966,430.77675,3.6481710109445785e-05,0.00040931977193281455,0.00035680221958930293,0.0008026037016315632,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
transfer model to GPU,2023-09-19T02:37:19,prompthero/openjourney,2ad20bc1-11ff-41b0-a303-adbf44aa725f,12.57742691040039,0.00046124278778739516,3.667529219564759e-05,42.5,485.36740721643855,430.77675,0.0001486851124299897,0.0016954799675090726,0.0014801114895601568,0.0033242765694992188,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
query model,2023-09-19T03:45:33,prompthero/openjourney,2ad20bc1-11ff-41b0-a303-adbf44aa725f,4082.386374235153,0.18142489269519083,4.444098136180664e-05,42.5,679.8256833919146,430.77675,0.0481949746100439,0.7709164497881886,0.4884570316933307,1.3075684560915632,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
