task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2023-09-19T19:01:33,t5-small,9cd2a086-4e18-4441-a33c-31f617daf4cc,10.066469430923462,0.0003718063514762646,3.69284778836579e-05,42.5,492.9464670452269,430.77675,0.00011909224407540427,0.0013788908253360432,0.0011817057524618011,0.0026796888218732487,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
query model,2023-09-19T19:03:23,t5-small,9cd2a086-4e18-4441-a33c-31f617daf4cc,109.9670181274414,0.004132805242584197,3.758243830085411e-05,42.5,502.80993265382114,430.77675,0.0012984358307388095,0.015358849787048712,0.013128735969955624,0.02978602158774314,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
