task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2023-09-08T18:03:28,runwayml/stable-diffusion-v1-5,bc8c50bf-4a1f-4682-859e-a84d57b582b6,3.5042612552642822,0.00013507436603884038,3.853406930710606e-05,42.5,537.5922562098738,430.77675,4.1610612968603775e-05,0.0005234629187214068,0.0004084366500450174,0.0009735101817350281,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
transfer model to GPU,2023-09-08T18:03:40,runwayml/stable-diffusion-v1-5,bc8c50bf-4a1f-4682-859e-a84d57b582b6,12.387402057647705,0.0004825820745748981,3.895745861818425e-05,42.5,543.6991247004505,430.77675,0.00014645663897196453,0.0018710137190964815,0.001460603068434894,0.00347807342650334,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
query model,2023-09-08T19:11:31,runwayml/stable-diffusion-v1-5,bc8c50bf-4a1f-4682-859e-a84d57b582b6,4071.058979034424,0.18887056948692688,4.639357261207595e-05,42.5,730.4886870337817,430.77675,0.0480612134191725,0.8260693336327165,0.48710051267964943,1.3612310597315385,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
