task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2023-09-27T01:25:13,bigscience/bloomz-560m,518dd175-197a-400c-96a4-6b1fbe894f44,40.479297399520874,0.0015045935357402764,3.716959679934672e-05,42.5,493.3038071396966,430.77675,0.000478180409471194,0.005547459160084145,0.004818291587557644,0.010843931157112983,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
query model,2023-09-27T01:33:13,bigscience/bloomz-560m,518dd175-197a-400c-96a4-6b1fbe894f44,479.2464990615845,0.018331732477681877,3.825119846993204e-05,42.5,519.4737691226535,430.77675,0.005657980667716927,0.06915444532359061,0.0573083363651442,0.1321207623564517,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
