task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2023-09-26T17:15:05,google/pegasus-large,9716615e-fc2e-44ec-b623-9017594e0c28,32.19638800621033,0.0011496969720059327,3.5709490553244754e-05,42.5,456.245916600699,430.77675,0.0003803070909447141,0.004080223264175231,0.0038255844791030883,0.008286114834223033,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
query model,2023-09-26T17:19:02,google/pegasus-large,9716615e-fc2e-44ec-b623-9017594e0c28,236.9789605140686,0.008753400213121765,3.693759366654355e-05,42.5,485.53248041388383,430.77675,0.00279786926491393,0.031961318624592394,0.028328461397148518,0.06308764928665483,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
