task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2023-09-08T15:04:02,distilgpt2,a1fa8b10-ac97-40e5-8089-1298de8dcb76,6.548099994659424,0.00024985749228862504,3.8158256468564745e-05,42.5,541.6125971028639,430.77675,7.751274158557256e-05,0.000985138565894772,0.0007381257004666328,0.0018007770079469772,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
query model,2023-09-08T15:04:56,distilgpt2,a1fa8b10-ac97-40e5-8089-1298de8dcb76,53.71770715713501,0.0021204106768064872,3.947359163105761e-05,42.5,553.9534432968452,430.77675,0.0006343689792686039,0.00826564550139608,0.006382244054883123,0.015282258535547807,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
