task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2023-10-26T23:08:07,bigscience/bloomz-1b7,1bf1db8f-0933-4b58-a002-df4e2695d62c,30.512781381607056,0.0010925219160386349,3.580644136108647e-05,42.5,459.4077505088557,430.77675,0.0003604206497470538,0.003893800059486807,0.0036198211258130766,0.007874041835046938,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
query model,2023-10-26T23:09:52,bigscience/bloomz-1b7,1bf1db8f-0933-4b58-a002-df4e2695d62c,104.30792546272278,0.004226646366281496,4.0521476436470625e-05,42.5,579.2792518925675,430.77675,0.0012315965728627312,0.016784002871638393,0.012446755425890983,0.030462354870392103,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
