task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2023-09-17T17:55:22,CompVis/stable-diffusion-v1-4,2edee4c2-8f90-4ebc-a3a8-610398fde360,3.7639951705932617,0.00013361988651045304,3.5505927467992394e-05,42.5,499.5061560604827,430.77675,4.462825059890748e-05,0.000521619028376108,0.0003967801540969312,0.0009630274330719467,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
transfer model to GPU,2023-09-17T17:55:31,CompVis/stable-diffusion-v1-4,2edee4c2-8f90-4ebc-a3a8-610398fde360,9.429026126861572,0.0003455406890543987,3.664878207732539e-05,42.5,497.73676149752976,430.77675,0.00011151850736803479,0.0013036535429478135,0.001075214459449202,0.0024903865097650503,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
query model,2023-09-17T19:03:30,CompVis/stable-diffusion-v1-4,2edee4c2-8f90-4ebc-a3a8-610398fde360,4073.378522634506,0.18521296732163448,4.5469209958449086e-05,42.5,706.5242489842435,430.77675,0.04808862739155691,0.7994235864828454,0.4873577156659026,1.3348699295403048,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N
